var;formula;mod;fr;PENDOVAR
PL_CAPPL;PL*100 / (CAPTACAO + PL);MOD;QF;
FGC_CAP;TIT_ELEG_FGC*100 / CAPTACAO;;;
PQCC;ifelse(CL_ATIV<=0,0,3*CL_ATIV / (TVMD_ATIV + 3*CL_ATIV));MOD;;
PQCC;ifelse(PQCC<=0,0,ifelse(PQCC>=1,1,PQCC));MOD;;
PQCT2;ifelse(TVMD_ATIV<=0,0,TVMD_ATIV / (TVMD_ATIV + 3*CL_ATIV));MOD;;
PQCT;1 - PQCC;MOD;;
PLexCAPSOC;PL - PL_CAP_SOC;MOD;SIZE;
PCAMBIO_T50;PCAM_T50;;;
PMERC_T50;PACS_T50 + PCAM_T50 + PCOM_T50 + PJUR_T50;;;
PR_PMERC;ifelse(PMERC_T50<=0,NA,round(PR_T50*100 / PMERC_T50,2));MOD;;
PMERC_PL;ifelse(PL<=0,NA,(PMERC_T50*1000) / PL);;;
CAPS_CAPPL;((PAS_DEP_VISTA + PAS_DEP_POUP)*90 + PAS_EXT*70 + (PAS_DEP_PRAZO+PAS_TIT_CAMB+PAS_TIT_IMOB)*50 + PAS_DEP_DI*10 + PL*100) / (CAPTACAO + PL);MOD;;
